business_date,fund_code,fund_product_id,product_type,price_above_year_line,weekly_macd_state,volume_state,current_nav
2026-09-02,014978,11628,ETF,true,GREEN_EXPANDING,,8.02170000
2026-09-02,015879,12383,ETF,false,RED_EXPANDING,,0.78650000
2026-09-02,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.78530000
2026-09-02,016707,13096,ETF,true,RED_EXPANDING,NORMAL,1.82190000
2026-09-02,016708,13097,ETF,true,RED_EXPANDING,NORMAL,1.80110000
2026-09-02,017093,13421,ETF,true,GREEN_EXPANDING,,2.82600000
2026-09-02,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.82760000
2026-09-02,017730,14005,ACTIVE,true,GREEN_EXPANDING,NORMAL,4.07340000
2026-09-02,019172,15299,INDEX,true,GREEN_EXPANDING,,1.75110000
2026-09-02,019736,15828,INDEX,true,GREEN_EXPANDING,,1.48900000
2026-09-02,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.36080000
2026-09-02,021972,17940,ETF,false,RED_EXPANDING,,1.22500000
2026-09-02,025732,21520,ETF,,GREEN_SHRINKING,,0.88850000
2026-09-02,026265,22033,ETF,,,,0.83900000
2026-09-02,027521,23185,ETF,,,,0.94120000
2026-09-02,110026,23860,ETF,true,GREEN_EXPANDING,NORMAL,3.48650000
2026-09-02,270042,25374,ETF,true,GREEN_EXPANDING,,8.42620000
2026-09-03,003765,2583,ETF,false,GREEN_EXPANDING,NORMAL,1.79830000
2026-09-03,006479,4420,ETF,true,GREEN_EXPANDING,,7.90750000
2026-09-03,007301,5128,ETF,true,GREEN_EXPANDING,LOW_STABLE,3.84500000
2026-09-03,008087,5778,ETF,true,GREEN_EXPANDING,NORMAL,2.84030000
2026-09-03,008163,5838,ETF,true,RED_EXPANDING,,1.75260000
2026-09-03,008585,6170,ETF,true,GREEN_EXPANDING,NORMAL,1.60020000
2026-09-03,008888,6416,ETF,true,GREEN_EXPANDING,LOW_STABLE,1.91560000
2026-09-03,010736,7967,INDEX_ENHANCED,true,GREEN_EXPANDING,NORMAL,1.24700000
